seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr1	860384	860419	36	*	X00003	148398	860530	879961	19432	+	110	upstream	110	SAMD11
chr1	900929	900981	53	*	X00023	84069	901877	910484	8608	+	895	upstream	895	PLEKHN1
chr1	936696	936994	299	*	X00034	57801	934342	935552	1211	-	1143	upstream	1143	HES4
chr1	948638	948742	105	*	X00039	9636	948847	949919	1073	+	104	upstream	104	ISG15
chr1	1010094	1010120	27	*	X00072	401934	1007126	1009687	2562	-	406	upstream	406	RNF223
chr1	1071789	1071923	135	*	X00083	254099	1072397	1079434	7038	+	473	upstream	473	LINC01342
chr1	1071984	1072118	135	*	X00084	254099	1072397	1079434	7038	+	278	upstream	278	LINC01342
chr1	1100535	1100684	150	*	X00093	406984	1102484	1102578	95	+	1799	upstream	1799	MIR200B
chr1	1101390	1101494	105	*	X00094	406984	1102484	1102578	95	+	989	upstream	989	MIR200B
chr1	1101390	1101494	105	*	X00094	406983	1103243	1103332	90	+	1748	upstream	1748	MIR200A
chr1	1101540	1101704	165	*	X00095	406984	1102484	1102578	95	+	779	upstream	779	MIR200B
chr1	1101540	1101704	165	*	X00095	406983	1103243	1103332	90	+	1538	upstream	1538	MIR200A
chr1	1102197	1102252	56	*	X00096	406984	1102484	1102578	95	+	231	upstream	231	MIR200B
chr1	1102197	1102252	56	*	X00096	406983	1103243	1103332	90	+	990	upstream	990	MIR200A
chr1	1102295	1102361	67	*	X00097	406984	1102484	1102578	95	+	122	upstream	122	MIR200B
chr1	1102295	1102361	67	*	X00097	406983	1103243	1103332	90	+	881	upstream	881	MIR200A
chr1	1102542	1102631	90	*	X00098	406984	1102484	1102578	95	+	0	overlapEnd	57	MIR200B
chr1	1102542	1102631	90	*	X00098	406983	1103243	1103332	90	+	611	upstream	611	MIR200A
chr1	1102542	1102631	90	*	X00098	554210	1104385	1104467	83	+	1753	upstream	1753	MIR429
